OID,version,date,fhir_status,year
2.16.840.1.113762.1.4.1186.4,20180503,2026-04-27T15:32:33-04:00,retired,2018
2.16.840.1.113762.1.4.1186.4,20240606,2026-04-27T15:32:33-04:00,retired,2024
2.16.840.1.113762.1.4.1186.5,20180503,2026-04-27T15:33:53-04:00,retired,2018
2.16.840.1.113762.1.4.1186.5,20210622,2026-04-27T15:33:53-04:00,retired,2021
2.16.840.1.113762.1.4.1186.5,20240606,2026-04-27T15:33:53-04:00,retired,2024
2.16.840.1.113762.1.4.1186.8,20180503,2026-04-27T15:37:18-04:00,retired,2018
2.16.840.1.113762.1.4.1186.8,20210622,2026-04-27T15:37:18-04:00,retired,2021
2.16.840.1.113762.1.4.1186.8,20240606,2026-04-27T15:37:18-04:00,retired,2024
2.16.840.1.113762.1.4.1186.8,20240625,2026-04-27T15:37:18-04:00,retired,2024
2.16.840.1.113762.1.4.1240.10,20231129,2026-04-29T13:48:43-04:00,active,2023
2.16.840.1.113762.1.4.1240.11,20231129,2026-04-29T16:42:04-04:00,active,2023
2.16.840.1.113762.1.4.1240.12,20240906,2026-04-29T15:23:49-04:00,active,2024
2.16.840.1.113762.1.4.1240.3,20230609,2026-04-29T16:37:40-04:00,retired,2023
2.16.840.1.113762.1.4.1240.3,20230628,2026-04-29T16:37:40-04:00,active,2023
2.16.840.1.113762.1.4.1240.4,20230628,2026-04-08T16:26:07-04:00,active,2023
2.16.840.1.113762.1.4.1240.7,20231025,2026-04-27T18:52:25-04:00,active,2023
2.16.840.1.113762.1.4.1240.8,20231025,2026-04-09T10:03:56-04:00,active,2023
2.16.840.1.113762.1.4.1267.10,20240329,2026-04-28T19:05:19-04:00,active,2024
2.16.840.1.113762.1.4.1267.11,20240329,2026-04-28T19:09:09-04:00,active,2024
2.16.840.1.113762.1.4.1267.13,20241008,2026-04-22T01:01:00-04:00,retired,2024
2.16.840.1.113762.1.4.1267.13,20250610,2026-04-22T01:01:00-04:00,retired,2025
2.16.840.1.113762.1.4.1267.13,20260422,2026-04-22T01:01:00-04:00,active,2026
2.16.840.1.113762.1.4.1267.14,20241004,2026-04-01T15:54:42-04:00,active,2024
2.16.840.1.113762.1.4.1267.15,20241004,2026-04-01T15:54:42-04:00,active,2024
2.16.840.1.113762.1.4.1267.16,20241005,2026-04-08T16:23:56-04:00,active,2024
2.16.840.1.113762.1.4.1267.22,20241015,2026-04-02T13:56:08-04:00,active,2024
2.16.840.1.113762.1.4.1267.23,20241018,2026-04-28T15:54:03-04:00,retired,2024
2.16.840.1.113762.1.4.1267.23,20250510,2026-04-28T15:54:03-04:00,active,2025
2.16.840.1.113762.1.4.1267.24,20241105,2026-04-29T17:11:31-04:00,retired,2024
2.16.840.1.113762.1.4.1267.24,20250529,2026-04-29T17:11:31-04:00,active,2025
2.16.840.1.113762.1.4.1267.25,20250419,2026-04-27T18:57:43-04:00,active,2025
2.16.840.1.113762.1.4.1267.29,20250510,2026-04-28T15:57:23-04:00,active,2025
2.16.840.1.113762.1.4.1267.3,20240217,2026-04-29T16:47:52-04:00,active,2024
2.16.840.1.113762.1.4.1267.4,20240222,2026-04-21T18:13:04-04:00,retired,2024
2.16.840.1.113762.1.4.1267.4,20251107,2026-04-21T18:13:04-04:00,active,2025
2.16.840.1.113762.1.4.1267.5,20240217,2026-04-29T17:01:12-04:00,active,2024
2.16.840.1.113762.1.4.1267.6,20240222,2026-04-29T17:07:26-04:00,active,2024
2.16.840.1.113762.1.4.1267.7,20240329,2026-04-28T19:07:17-04:00,active,2024
2.16.840.1.113762.1.4.1267.8,20240329,2026-04-28T19:03:24-04:00,active,2024
2.16.840.1.113762.1.4.1267.9,20240329,2026-04-28T19:00:44-04:00,active,2024
2.16.840.1.113883.1.11.10267,20150417,2026-04-09T14:51:35-04:00,retired,2015
2.16.840.1.113883.1.11.10267,20170915,2026-04-09T14:51:35-04:00,retired,2017
2.16.840.1.113883.1.11.10267,20220629,2026-04-09T14:51:35-04:00,retired,2022
